46.00	 43.00	 -10.90
46.90	 42.90	 -11.40
47.20	 42.70	 -11.50
46.50	 41.80	 -12.10
48.40	 42.00	 -12.70
48.40	 41.70	 -13.90
48.30	 42.00	 -14.70
48.30	 41.20	 -16.20
48.90	 39.00	 -17.70
49.90	 38.10	 -19.20
50.50	 37.90	 -20.40
51.60	 36.90	 -20.10
51.70	 36.00	 -22.00
52.30	 34.90	 -21.60
52.60	 34.30	 -21.90
53.10	 34.60	 -22.90
54.30	 34.90	 -22.00
53.50	 33.10	 -22.90
54.70	 34.30	 -22.00
54.90	 33.30	 -22.60
55.20	 33.10	 -21.90
55.30	 33.30	 -22.80
54.70	 32.20	 -23.50
55.80	 32.20	 -24.00
55.00	 31.30	 -24.00
56.80	 30.00	 -24.90
56.80	 29.40	 -24.60
57.60	 28.20	 -25.20
58.00	 28.50	 -25.90
58.90	 27.30	 -25.60
60.10	 27.40	 -24.90
59.50	 26.40	 -26.70
59.80	 26.20	 -26.10
60.40	 26.10	 -26.20
60.40	 25.60	 -26.20
61.50	 25.20	 -26.20
61.60	 23.10	 -26.70
62.50	 22.50	 -27.00
62.40	 22.00	 -26.50
63.30	 21.00	 -26.40
64.20	 21.10	 -26.80
64.50	 20.50	 -26.40
64.20	 20.10	 -27.10
64.80	 21.10	 -27.30
65.40	 19.90	 -27.30
64.60	 19.80	 -27.00
64.90	 18.40	 -27.10
65.70	 18.70	 -27.00
66.40	 17.50	 -27.70
66.10	 17.20	 -26.70
66.60	 16.30	 -27.10
68.10	 15.70	 -27.30
68.20	 13.90	 -26.70
68.10	 13.90	 -26.20
68.80	 13.50	 -26.70
68.80	 13.00	 -26.20
68.50	 13.20	 -27.10
68.20	 13.00	 -26.80
69.60	 12.60	 -26.40
69.70	 12.10	 -26.80
68.40	 11.10	 -26.10
70.00	 11.10	 -26.10
70.20	 9.90	 -26.50
70.30	 10.30	 -26.40
71.10	 8.40	 -26.70
71.40	 9.30	 -26.10
71.20	 9.10	 -26.10
71.10	 9.10	 -26.10
70.90	 8.50	 -26.70
71.50	 7.90	 -26.70
71.50	 7.80	 -25.60
70.50	 7.80	 -25.90
71.20	 6.60	 -25.00
71.40	 6.30	 -25.20
71.50	 6.30	 -25.50
72.40	 6.30	 -25.50
72.40	 5.80	 -25.50
72.10	 5.80	 -25.60
72.70	 4.60	 -24.70
72.70	 4.90	 -25.50
73.50	 4.30	 -24.90
73.20	 4.50	 -25.20
73.50	 5.10	 -24.30
74.10	 4.80	 -24.70
73.20	 4.50	 -24.40
73.00	 4.90	 -24.00
73.80	 4.20	 -24.30
74.80	 4.30	 -24.00
73.80	 3.90	 -24.60
74.40	 4.60	 -24.10
74.10	 4.60	 -24.10
74.40	 4.00	 -23.50
74.10	 4.00	 -24.40
73.20	 4.50	 -23.50
73.80	 4.90	 -24.10
74.40	 5.40	 -25.20
73.60	 4.60	 -24.00
74.10	 5.10	 -24.70
75.40	 5.40	 -24.10
74.10	 5.20	 -24.10
74.70	 5.50	 -23.80
74.40	 4.60	 -24.60
74.40	 6.00	 -23.80
75.10	 4.30	 -23.70
74.50	 6.00	 -24.00
75.40	 5.20	 -24.10
73.80	 6.30	 -25.30
73.30	 6.40	 -24.40
74.10	 7.80	 -25.00
74.70	 6.90	 -24.90
74.40	 7.60	 -25.00
74.50	 8.50	 -24.60
74.20	 7.50	 -25.20
73.50	 9.00	 -25.20
74.20	 8.80	 -24.60
74.70	 9.10	 -25.20
74.20	 9.90	 -23.80
75.10	 8.70	 -24.60
75.30	 9.70	 -25.00
74.70	 9.90	 -24.60
74.10	 10.60	 -24.40
73.30	 11.20	 -25.00
74.50	 11.10	 -24.00
75.10	 11.70	 -23.50
73.60	 11.50	 -24.10
74.50	 13.50	 -24.00
74.10	 12.90	 -23.70
74.20	 13.30	 -24.10
73.80	 14.10	 -23.80
74.10	 14.80	 -24.00
73.90	 15.00	 -23.20
73.80	 15.00	 -23.50
72.90	 15.30	 -24.00
73.80	 16.20	 -23.70
73.50	 15.60	 -24.10
73.50	 17.50	 -23.80
73.50	 16.80	 -23.40
73.80	 16.90	 -22.00
72.90	 17.70	 -22.90
73.00	 17.40	 -22.50
74.10	 18.10	 -22.80
73.30	 19.00	 -23.20
74.20	 18.60	 -21.40
73.00	 19.20	 -21.70
73.20	 19.50	 -21.30
73.80	 19.80	 -21.00
73.90	 21.00	 -20.80
73.50	 20.80	 -20.50
72.90	 21.40	 -20.10
72.30	 22.60	 -20.70
72.70	 22.60	 -20.50
72.30	 22.20	 -19.50
72.70	 22.20	 -19.60
72.40	 23.10	 -19.30
71.80	 23.40	 -19.20
73.20	 24.40	 -19.50
71.50	 24.90	 -18.40
72.60	 26.10	 -16.90
72.70	 25.60	 -17.70
71.70	 25.50	 -18.60
72.00	 26.70	 -17.70
72.90	 26.70	 -16.90
72.30	 26.70	 -16.20
71.40	 26.70	 -16.20
71.70	 28.00	 -15.30
72.30	 28.50	 -16.00
71.40	 28.50	 -15.70
71.40	 29.20	 -15.00
71.40	 28.90	 -14.70
71.40	 28.80	 -14.40
71.10	 30.00	 -14.10
71.80	 29.50	 -12.70
70.90	 28.60	 -13.50
70.80	 31.00	 -13.00
70.80	 30.90	 -12.90
71.20	 30.60	 -12.40
70.00	 31.20	 -12.00
69.30	 31.20	 -11.20
70.50	 31.20	 -10.60
71.20	 31.80	 -10.20
70.50	 32.80	 -10.20
70.30	 32.80	 -10.00
70.80	 32.70	 -9.70
69.90	 32.40	 -8.80
69.90	 33.30	 -8.50
70.20	 33.70	 -8.10
69.70	 32.20	 -8.10
69.60	 34.00	 -7.00
